year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2003,EV,Atlantic Southeast Airlines,ABY,"Albany, GA: Southwest Georgia Regional",22,FALSE
2003,RU,ExpressJet Airlines Inc.,ALB,"Albany, NY: Albany International",29,FALSE
2003,NW,Northwest Airlines Inc.,ALB,"Albany, NY: Albany International",10,FALSE
2003,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",8,FALSE
2003,HP,America West Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",115,FALSE
2003,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",25,FALSE
2003,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",196,FALSE
2003,EV,Atlantic Southeast Airlines,AEX,"Alexandria, LA: Alexandria International",88,FALSE
2003,RU,ExpressJet Airlines Inc.,AEX,"Alexandria, LA: Alexandria International",11,FALSE
2003,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1975,FALSE
2003,CO,Continental Air Lines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",28,FALSE
2003,OO,SkyWest Airlines Inc.,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",25,FALSE
2003,HP,America West Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",93,TRUE
2003,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",139,TRUE
2003,EV,Atlantic Southeast Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1227,TRUE
2003,CO,Continental Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",38,TRUE
2003,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1100,TRUE
2003,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",67,TRUE
2003,NW,Northwest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",23,TRUE
2003,EV,Atlantic Southeast Airlines,AGS,"Augusta, GA: Augusta Regional at Bush Field",25,FALSE
2003,HP,America West Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",145,FALSE
2003,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",115,FALSE
